id_prov,id_depto,nombre
6,505,MAGDALENA
6,28,ALMIRANTE BROWN
6,260,ESTEBAN ECHEVERRIA
6,672,RAUCH
6,532,MERCEDES
6,70,BARADERO
6,420,LA COSTA
2,35,COMUNA 5
6,21,ALBERTI
10,21,ANDALGALA
10,70,LA PAZ
14,42,GENERAL SAN MARTIN
14,28,CRUZ DEL EJE
14,49,ISCHILIN
18,98,MBURUCUYA
22,147,SAN LORENZO
26,35,FUTALEUFU
38,70,SANTA BARBARA
38,105,VALLE GRANDE
38,77,SANTA CATALINA
42,140,TOAY
42,77,HUCAL
46,14,CAPITAL
46,7,ARAUCO
46,63,GENERAL BELGRANO
46,70,GENERAL JUAN F QUIROGA
54,70,LEANDRO N. ALEM
54,7,APOSTOLES
54,77,LIBERTADOR GRL SAN MARTIN
54,21,CANDELARIA
58,28,COLLON CURA
62,56,ÑORQUINCO
66,63,GUACHIPAS
66,105,LOS ANDES
66,147,ROSARIO DE LERMA
66,133,RIVADAVIA
74,56,GENERAL JUAN MARTIN DE PUEYRREDON
78,49,RIO CHICO
82,112,SAN JUSTO
82,35,GARAY
82,98,SAN JAVIER
2,0,Ciudad Autónoma de Buenos Aires
6,462,LEANDRO N. ALEM
6,665,RAMALLO
6,270,EZEIZA
6,581,NECOCHEA
2,70,COMUNA 10
2,14,COMUNA 2
2,21,COMUNA 3
6,568,MORON
6,700,SAAVEDRA
6,847,TRES LOMAS
10,91,SANTA MARIA
10,14,ANCASTI
14,14,CAPITAL
14,7,CALAMUCHITA
14,140,SAN JUSTO
34,21,LAISHI
42,105,MARACO
42,70,GUATRACHE
50,28,GUAYMALLEN
50,7,CAPITAL
50,70,MAIPU
54,119,25 DE MAYO
58,14,AÑELO
58,56,LACAR
62,91,25 DE MAYO
62,70,PILCANIYEU
66,112,METAN
70,63,9 DE JULIO
78,35,LAGO BUENOS AIRES
82,126,SAN MARTIN
86,77,GENERAL TABOADA
86,147,RIO HONDO
86,56,COPO
86,84,GUASAYAN
90,105,TAFI VIEJO
90,49,LA COCHA
94,28,ANTARTIDA ARGENTINA
6,441,LA PLATA
6,735,SAN ANTONIO DE ARECO
6,245,ENSENADA
6,648,PRESIDENTE PERON
6,218,CHASCOMUS
6,351,GENERAL PINTO
6,784,SUIPACHA
6,399,GUAMINI
6,553,MONTE HERMOSO
10,84,POMAN
10,77,PACLIN
14,56,JUAREZ CELMAN
18,63,GENERAL PAZ
22,112,O HIGGINS
22,21,COMANDANTE FERNANDEZ
26,14,CUSHAMEN
30,56,GUALEGUAYCHU
30,8,COLON
30,63,ISLAS DEL IBICUY
30,98,URUGUAY
30,84,PARANA
42,35,CONHELO
54,84,MONTECARLO
54,91,OBERA
58,84,ÑORQUIN
66,140,ROSARIO DE LA FRONTERA
66,154,SAN CARLOS
82,119,SAN LORENZO
82,91,SAN CRISTOBAL
6,547,MONTE
6,161,CARMEN DE ARECO
6,154,CARLOS TEJEDOR
6,392,GENERAL VILLEGAS
6,763,SAN NICOLAS
6,805,TIGRE
6,98,BERISSO
2,28,COMUNA 4
6,854,25 DE MAYO
6,412,JOSE C. PAZ
6,602,PATAGONES
6,749,SAN FERNANDO
10,112,VALLE VIEJO
14,147,SANTA MARIA
18,119,PASO DE LOS LIBRES
26,98,TEHUELCHES
