Cueanexo,id_prov,id_depto,ambito,sector
20000100,2,28,Urbano,Privado
20000200,2,28,Urbano,Estatal
20000300,2,91,Urbano,Privado
20000500,2,91,Urbano,Privado
20000700,2,63,Urbano,Privado
20000800,2,63,Urbano,Estatal
20000900,2,28,Urbano,Estatal
20001000,2,28,Urbano,Estatal
20001100,2,28,Urbano,Estatal
20001200,2,28,Urbano,Estatal
20001700,2,91,Urbano,Privado
20001800,2,77,Urbano,Estatal
20002200,2,63,Urbano,Estatal
20002300,2,63,Urbano,Estatal
20002400,2,70,Urbano,Estatal
20002500,2,70,Urbano,Estatal
20002600,2,91,Urbano,Privado
20002700,2,91,Urbano,Privado
20002800,2,91,Urbano,Privado
20002900,2,28,Urbano,Privado
20003100,2,14,Urbano,Privado
20003300,2,7,Urbano,Privado
20003400,2,14,Urbano,Privado
20003500,2,7,Urbano,Privado
20003700,2,28,Urbano,Estatal
20003701,2,28,Urbano,Estatal
20003703,2,28,Urbano,Estatal
20003800,2,28,Urbano,Estatal
20003900,2,28,Urbano,Estatal
20004000,2,49,Urbano,Estatal
20004100,2,28,Urbano,Estatal
20004200,2,28,Urbano,Estatal
20004300,2,28,Urbano,Estatal
20004400,2,49,Urbano,Estatal
20004600,2,105,Urbano,Estatal
20004700,2,98,Urbano,Privado
20004800,2,105,Urbano,Estatal
20004900,2,28,Urbano,Privado
20005000,2,28,Urbano,Estatal
20005100,2,105,Urbano,Estatal
20005300,2,28,Urbano,Estatal
20005400,2,77,Urbano,Privado
20005500,2,7,Urbano,Privado
20005600,2,21,Urbano,Estatal
20005800,2,21,Urbano,Privado
20005801,2,91,Urbano,Privado
20006300,2,7,Urbano,Estatal
20006500,2,7,Urbano,Privado
20007100,2,7,Urbano,Estatal
20007200,2,7,Urbano,Privado
20007300,2,7,Urbano,Estatal
20007500,2,70,Urbano,Estatal
20007501,2,70,Urbano,Estatal
20007502,2,70,Urbano,Estatal
20007600,2,28,Urbano,Estatal
20007700,2,28,Urbano,Estatal
20007800,2,35,Urbano,Privado
20007900,2,63,Urbano,Estatal
20008200,2,14,Urbano,Privado
20008300,2,84,Urbano,Privado
20008400,2,70,Urbano,Estatal
20008500,2,70,Urbano,Estatal
20008600,2,70,Urbano,Estatal
20008700,2,105,Urbano,Privado
20008900,2,28,Urbano,Estatal
20009000,2,56,Urbano,Estatal
20009100,2,84,Urbano,Privado
20009500,2,98,Urbano,Privado
20009700,2,70,Urbano,Estatal
20009800,2,105,Urbano,Privado
20009900,2,84,Urbano,Privado
20010000,2,98,Urbano,Privado
20010200,2,56,Urbano,Privado
20010300,2,56,Urbano,Estatal
20010400,2,28,Urbano,Privado
20011000,2,63,Urbano,Estatal
20011100,2,63,Urbano,Estatal
20011200,2,63,Urbano,Estatal
20011300,2,63,Urbano,Estatal
20011400,2,42,Urbano,Privado
20011500,2,70,Urbano,Privado
20011600,2,84,Urbano,Privado
20011700,2,49,Urbano,Estatal
20011800,2,7,Urbano,Privado
20012000,2,7,Urbano,Estatal
20012100,2,7,Urbano,Estatal
20012300,2,98,Urbano,Privado
20012301,2,98,Urbano,Privado
20012500,2,98,Urbano,Privado
20012600,2,91,Urbano,Privado
20012700,2,98,Urbano,Privado
20012800,2,98,Urbano,Estatal
20012900,2,91,Urbano,Privado
20013000,2,105,Urbano,Estatal
20013500,2,28,Urbano,Estatal
20013600,2,84,Urbano,Estatal
20013800,2,84,Urbano,Privado
20013900,2,49,Urbano,Estatal
20014000,2,77,Urbano,Estatal
20014100,2,49,Urbano,Estatal
20014200,2,77,Urbano,Privado
20014300,2,77,Urbano,Estatal
20014400,2,77,Urbano,Privado
20014500,2,77,Urbano,Privado
20014600,2,7,Urbano,Privado
20015000,2,28,Urbano,Privado
20015200,2,105,Urbano,Estatal
20015300,2,56,Urbano,Estatal
20015400,2,28,Urbano,Estatal
20015500,2,49,Urbano,Estatal
20015700,2,49,Urbano,Privado
20015800,2,35,Urbano,Estatal
20015801,2,42,Urbano,Estatal
20015900,2,105,Urbano,Estatal
20016000,2,105,Urbano,Estatal
20016100,2,77,Urbano,Estatal
20016300,2,77,Urbano,Estatal
20016500,2,49,Urbano,Estatal
20016600,2,77,Urbano,Estatal
20016700,2,77,Urbano,Estatal
20016800,2,77,Urbano,Privado
20016900,2,49,Urbano,Estatal
20017000,2,49,Urbano,Estatal
20017400,2,21,Urbano,Privado
20017500,2,98,Urbano,Privado
20017700,2,70,Urbano,Estatal
20017701,2,70,Urbano,Estatal
20017702,2,70,Urbano,Estatal
20017800,2,70,Urbano,Privado
20018100,2,77,Urbano,Estatal
20018400,2,63,Urbano,Estatal
20018500,2,63,Urbano,Estatal
20018600,2,63,Urbano,Estatal
20018700,2,63,Urbano,Estatal
20018701,2,63,Urbano,Estatal
20018702,2,63,Urbano,Estatal
20018800,2,98,Urbano,Estatal
20018900,2,98,Urbano,Estatal
20019000,2,98,Urbano,Privado
20019200,2,49,Urbano,Estatal
20019300,2,70,Urbano,Estatal
20019400,2,49,Urbano,Privado
20019600,2,70,Urbano,Estatal
20019800,2,77,Urbano,Privado
20019900,2,77,Urbano,Privado
20020100,2,98,Urbano,Privado
20020200,2,105,Urbano,Estatal
20020300,2,105,Urbano,Privado
20020600,2,84,Urbano,Privado
20020700,2,84,Urbano,Estatal
20020800,2,84,Urbano,Estatal
20020900,2,105,Urbano,Privado
20021200,2,98,Urbano,Estatal
20021300,2,91,Urbano,Estatal
20021400,2,35,Urbano,Estatal
20021500,2,77,Urbano,Estatal
20021600,2,77,Urbano,Estatal
20021700,2,91,Urbano,Privado
20021800,2,91,Urbano,Privado
20021900,2,77,Urbano,Estatal
20022000,2,77,Urbano,Estatal
20022001,2,49,Urbano,Estatal
20022002,2,49,Urbano,Estatal
20022003,2,49,Urbano,Estatal
20022100,2,105,Urbano,Estatal
20022300,2,105,Urbano,Privado
20022400,2,105,Urbano,Privado
20022500,2,105,Urbano,Privado
20023000,2,84,Urbano,Estatal
20023100,2,84,Urbano,Privado
20023200,2,7,Urbano,Privado
20023300,2,7,Urbano,Privado
20023400,2,105,Urbano,Privado
20023500,2,105,Urbano,Privado
20023600,2,35,Urbano,Estatal
20023700,2,84,Urbano,Estatal
20023900,2,98,Urbano,Estatal
20023901,2,91,Urbano,Estatal
20024000,2,77,Urbano,Privado
20024800,2,14,Urbano,Privado
20024900,2,7,Urbano,Estatal
20024902,2,7,Urbano,Estatal
20024903,2,7,Urbano,Estatal
20025000,2,7,Urbano,Estatal
20025100,2,7,Urbano,Estatal
20025300,2,49,Urbano,Privado
20025400,2,56,Urbano,Privado
20025500,2,56,Urbano,Estatal
20025600,2,35,Urbano,Estatal
20026400,2,91,Urbano,Privado
20026800,2,56,Urbano,Estatal
20027300,2,21,Urbano,Privado
20027400,2,56,Urbano,Estatal
20027500,2,56,Urbano,Estatal
20027600,2,63,Urbano,Privado
20027800,2,56,Urbano,Estatal
20027804,2,56,Urbano,Estatal
20027900,2,56,Urbano,Estatal
20028100,2,91,Urbano,Estatal
20028300,2,42,Urbano,Estatal
20028500,2,56,Urbano,Estatal
20028600,2,56,Urbano,Estatal
20028700,2,21,Urbano,Privado
20028900,2,21,Urbano,Estatal
20029000,2,21,Urbano,Estatal
20029001,2,21,Urbano,Estatal
20029002,2,21,Urbano,Estatal
20029300,2,14,Urbano,Privado
20029400,2,21,Urbano,Estatal
20029401,2,21,Urbano,Estatal
20029500,2,14,Urbano,Privado
20029600,2,28,Urbano,Estatal
20029700,2,28,Urbano,Estatal
20029800,2,28,Urbano,Estatal
20029900,2,84,Urbano,Privado
20030200,2,49,Urbano,Estatal
20030300,2,49,Urbano,Privado
20030400,2,70,Urbano,Estatal
20030500,2,35,Urbano,Privado
20030700,2,35,Urbano,Privado
20030900,2,7,Urbano,Estatal
20030902,2,7,Urbano,Estatal
20031100,2,7,Urbano,Estatal
20031700,2,91,Urbano,Privado
20031900,2,91,Urbano,Estatal
20032400,2,84,Urbano,Estatal
20032500,2,84,Urbano,Estatal
20032800,2,63,Urbano,Estatal
20032900,2,35,Urbano,Estatal
20033000,2,63,Urbano,Estatal
20033100,2,63,Urbano,Privado
20033300,2,91,Urbano,Estatal
20033400,2,28,Urbano,Privado
20033500,2,98,Urbano,Privado
20033600,2,98,Urbano,Estatal
20033601,2,98,Urbano,Estatal
20033602,2,98,Urbano,Estatal
20034100,2,84,Urbano,Estatal
20034200,2,70,Urbano,Estatal
20034400,2,49,Urbano,Estatal
20034401,2,49,Urbano,Estatal
20034402,2,49,Urbano,Estatal
20034403,2,49,Urbano,Estatal
20034900,2,84,Urbano,Estatal
20035000,2,84,Urbano,Estatal
20035100,2,77,Urbano,Estatal
20035200,2,105,Urbano,Estatal
20035300,2,105,Urbano,Estatal
20035400,2,14,Urbano,Privado
20035500,2,14,Urbano,Privado
20035600,2,14,Urbano,Privado
20035800,2,91,Urbano,Estatal
20036100,2,14,Urbano,Estatal
20036200,2,56,Urbano,Estatal
20036300,2,84,Urbano,Estatal
20036400,2,105,Urbano,Estatal
20036600,2,42,Urbano,Estatal
20036601,2,56,Urbano,Estatal
20036800,2,42,Urbano,Privado
20037000,2,105,Urbano,Privado
20037200,2,70,Urbano,Estatal
20037900,2,42,Urbano,Estatal
20038000,2,49,Urbano,Estatal
20038100,2,56,Urbano,Estatal
20038200,2,49,Urbano,Estatal
20038300,2,84,Urbano,Estatal
20038600,2,35,Urbano,Estatal
20038700,2,84,Urbano,Privado
20039800,2,49,Urbano,Privado
20039900,2,77,Urbano,Estatal
20040000,2,49,Urbano,Estatal
20040100,2,91,Urbano,Estatal
20040200,2,35,Urbano,Privado
20040300,2,49,Urbano,Privado
20040400,2,35,Urbano,Estatal
20040700,2,21,Urbano,Privado
20041000,2,21,Urbano,Estatal
20041100,2,28,Urbano,Privado
20041200,2,21,Urbano,Privado
20041300,2,70,Urbano,Estatal
20041400,2,91,Urbano,Estatal
20041500,2,91,Urbano,Privado
20041700,2,70,Urbano,Estatal
20041800,2,28,Urbano,Estatal
20041900,2,49,Urbano,Estatal
20042000,2,35,Urbano,Privado
20042100,2,91,Urbano,Estatal
20042200,2,28,Urbano,Privado
20042400,2,7,Urbano,Estatal
20042500,2,21,Urbano,Privado
20042600,2,56,Urbano,Estatal
20042700,2,84,Urbano,Estatal
20042800,2,77,Urbano,Privado
20043300,2,56,Urbano,Estatal
20043700,2,98,Urbano,Privado
20043800,2,21,Urbano,Estatal
20043900,2,21,Urbano,Estatal
20044000,2,77,Urbano,Privado
20044100,2,28,Urbano,Estatal
20044200,2,28,Urbano,Estatal
20044400,2,49,Urbano,Estatal
20044401,2,49,Urbano,Estatal
20044402,2,49,Urbano,Estatal
20044600,2,35,Urbano,Privado
20044700,2,77,Urbano,Estatal
20045100,2,105,Urbano,Estatal
20045500,2,28,Urbano,Privado
20045600,2,7,Urbano,Privado
20045700,2,7,Urbano,Privado
20045800,2,35,Urbano,Estatal
20046000,2,91,Urbano,Privado
20046100,2,91,Urbano,Estatal
20046200,2,70,Urbano,Estatal
20046300,2,84,Urbano,Estatal
20046400,2,42,Urbano,Privado
20046700,2,91,Urbano,Estatal
20046702,2,91,Urbano,Estatal
20046703,2,91,Urbano,Estatal
20046900,2,7,Urbano,Estatal
20047000,2,28,Urbano,Estatal
20047200,2,28,Urbano,Estatal
20047300,2,28,Urbano,Estatal
20047400,2,28,Urbano,Estatal
20047600,2,28,Urbano,Estatal
20047700,2,28,Urbano,Estatal
20047800,2,105,Urbano,Estatal
20047900,2,98,Urbano,Privado
20048100,2,14,Urbano,Estatal
20048300,2,98,Urbano,Privado
20048400,2,28,Urbano,Estatal
20048500,2,28,Urbano,Estatal
20048600,2,77,Urbano,Privado
20048700,2,49,Urbano,Estatal
20048900,2,91,Urbano,Estatal
20049000,2,105,Urbano,Estatal
20049100,2,21,Urbano,Estatal
20049200,2,21,Urbano,Estatal
20049300,2,105,Urbano,Privado
20049400,2,105,Urbano,Estatal
20049500,2,77,Urbano,Estatal
20049600,2,91,Urbano,Privado
20049700,2,84,Urbano,Estatal
20049900,2,28,Urbano,Estatal
20050000,2,91,Urbano,Estatal
20050200,2,91,Urbano,Privado
20050300,2,28,Urbano,Privado
20050400,2,7,Urbano,Estatal
20050600,2,21,Urbano,Estatal
20050800,2,28,Urbano,Privado
20050900,2,7,Urbano,Estatal
20051100,2,91,Urbano,Privado
20051200,2,63,Urbano,Privado
20051300,2,63,Urbano,Privado
20051400,2,63,Urbano,Estatal
20051600,2,105,Urbano,Estatal
20051800,2,105,Urbano,Estatal
20051900,2,105,Urbano,Estatal
20052000,2,28,Urbano,Estatal
20052100,2,28,Urbano,Privado
20052300,2,28,Urbano,Estatal
20052400,2,21,Urbano,Estatal
20052500,2,7,Urbano,Privado
20052600,2,91,Urbano,Privado
20052700,2,91,Urbano,Privado
20052800,2,7,Urbano,Estatal
20053000,2,91,Urbano,Estatal
20053100,2,91,Urbano,Privado
20053200,2,91,Urbano,Privado
20053300,2,84,Urbano,Estatal
20053400,2,91,Urbano,Privado
20053500,2,91,Urbano,Privado
20053600,2,7,Urbano,Estatal
20053601,2,56,Urbano,Estatal
